Reference, Quantity, Value, Footprint, Datasheet
C1 C10 C13 C14 C15 C2 C20 C21 C7 C8 C9 ,11,"100n","Capacitor_SMD:C_0805_2012Metric","~"
C11 C12 ,2,"470p","Capacitor_SMD:C_0805_2012Metric","~"
C16 C17 ,2,"22p","Capacitor_SMD:C_0805_2012Metric","~"
C18 C19 C22 ,3,"10u","Capacitor_SMD:CP_Elec_4x5.8","~"
C3 C4 C5 C6 ,4,"47n","Capacitor_SMD:C_0805_2012Metric","~"
D10 D11 ,2,"DFLR1400-7","Diode_SMD:D_PowerDI-123","~"
D12 ,1,"LED","LED_SMD:LED_1206_3216Metric_Castellated","~"
D1 D2 D3 D4 ,4,"1N5819","Diode_SMD:D_SOD-123","~"
D5 D6 D7 D8 D9 ,5,"LED","LED_THT:LED_D3.0mm","~"
J-CV1 J-Clk1 J-Out1 J-Trig1 ,4,"AudioJack2_Ground_Switch","Local:PJ398SM","~"
J1 J3 ,2,"Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
J2 ,1,"Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
J4 ,1,"Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
R1 R10 R13 R15 R17 R20 R23 R36 R37 R4 ,10,"1k","Resistor_SMD:R_0805_2012Metric","~"
R16 R18 R22 R24 R25 R39 ,6,"330","Resistor_SMD:R_0805_2012Metric","~"
R11 R2 ,2,"220","Resistor_SMD:R_0805_2012Metric","~"
R19 R21 ,2,"4k7","Resistor_SMD:R_0805_2012Metric","~"
R26 R27 R28 R29 R30 R31 R32 R33 ,8,"47k","Resistor_SMD:R_0805_2012Metric","~"
R12 R3 ,2,"470","Resistor_SMD:R_0805_2012Metric","~"
R34 R35 ,2,"100k","Resistor_SMD:R_0805_2012Metric","~"
R38 ,1,"10k","Resistor_SMD:R_0805_2012Metric","~"
R14 R5 ,2,"3k3","Resistor_SMD:R_0805_2012Metric","~"
R6 R7 R8 R9 ,4,"33k","Resistor_SMD:R_0805_2012Metric","~"
RV1 ,1,"100k","Local:AlpsRK09K","~"
SW1 SW2 SW3 SW4 SW5 ,5,"SW_SPDT_MSM","Local:SP1MS1",""
SW6 ,1,"SW_Push","Button_Switch_THT:SW_PUSH_6mm_H9.5mm",""
U1 ,1,"TL072","Package_SO:TSSOP-8_3x3mm_P0.65mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
U2 ,1,"ATmega328PB-AU","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/40001906C.pdf"
U3 ,1,"L7805","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
Y1 ,1,"20MHz","Crystal:Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm","~"